epoch,train_accuracy,max_train_accuracy,test_accuracy,max_test_accuracy,best_epoch,train_loss,lr,model_name,fold
3,78.44311377245509,79.64071856287426,89.28571428571429,89.28571428571429,3,0.5002485361127627,0.001,resnet50,2
4,79.04191616766467,79.64071856287426,89.28571428571429,89.28571428571429,3,0.5566619492712475,0.001,resnet50,2
5,87.42514970059881,87.42514970059881,92.85714285714286,92.85714285714286,5,0.3647400497325829,0.001,resnet50,2
1,85.62874251497006,85.62874251497006,91.66666666666667,91.66666666666667,1,0.36221450318892795,0.0001,resnet50,2
2,90.41916167664671,90.41916167664671,92.85714285714286,92.85714285714286,2,0.28524375352121534,0.0001,resnet50,2
3,86.22754491017965,90.41916167664671,92.85714285714286,92.85714285714286,2,0.3012286544378315,0.0001,resnet50,2
4,94.0119760479042,94.0119760479042,91.66666666666667,92.85714285714286,2,0.18444730084212052,0.0001,resnet50,2
5,92.21556886227545,94.0119760479042,92.85714285714286,92.85714285714286,2,0.22328417978826023,0.0001,resnet50,2
1,91.61676646706587,91.61676646706587,92.85714285714286,92.85714285714286,1,0.23532328444222608,1e-05,resnet50,2
2,91.61676646706587,91.61676646706587,91.66666666666667,92.85714285714286,1,0.2617771460541657,1e-05,resnet50,2
3,90.41916167664671,91.61676646706587,92.85714285714286,92.85714285714286,1,0.22480994596013001,1e-05,resnet50,2
4,87.42514970059881,91.61676646706587,92.85714285714286,92.85714285714286,1,0.26774737296537277,1e-05,resnet50,2
5,92.81437125748504,92.81437125748504,92.85714285714286,92.85714285714286,1,0.18631820841914132,1e-05,resnet50,2
1,85.11904761904762,85.11904761904762,97.59036144578313,97.59036144578313,1,0.34546684597929317,0.001,resnet50,3
2,85.71428571428571,85.71428571428571,92.7710843373494,97.59036144578313,1,0.3658999836161023,0.001,resnet50,3
3,77.97619047619048,85.71428571428571,95.18072289156626,97.59036144578313,1,0.6139999092334792,0.001,resnet50,3
4,82.14285714285714,85.71428571428571,85.5421686746988,97.59036144578313,1,0.46637071136917385,0.001,resnet50,3
5,78.57142857142857,85.71428571428571,89.1566265060241,97.59036144578313,1,0.5325136085351309,0.001,resnet50,3
1,88.69047619047619,88.69047619047619,96.3855421686747,96.3855421686747,1,0.32429853294576916,0.0001,resnet50,3
2,84.52380952380952,88.69047619047619,96.3855421686747,96.3855421686747,1,0.41341966709920336,0.0001,resnet50,3
3,88.0952380952381,88.69047619047619,93.97590361445783,96.3855421686747,1,0.3145793713629246,0.0001,resnet50,3
4,89.28571428571429,89.28571428571429,96.3855421686747,96.3855421686747,1,0.35789530937160763,0.0001,resnet50,3
5,92.85714285714286,92.85714285714286,96.3855421686747,96.3855421686747,1,0.1867982560680026,0.0001,resnet50,3
1,91.66666666666667,91.66666666666667,92.7710843373494,92.7710843373494,1,0.24526826256797427,1e-05,resnet50,3
2,88.69047619047619,91.66666666666667,96.3855421686747,96.3855421686747,2,0.25058897034752936,1e-05,resnet50,3
3,92.26190476190476,92.26190476190476,96.3855421686747,96.3855421686747,2,0.22065984847999753,1e-05,resnet50,3
4,91.66666666666667,92.26190476190476,95.18072289156626,96.3855421686747,2,0.2416022867851314,1e-05,resnet50,3
5,89.88095238095238,92.26190476190476,96.3855421686747,96.3855421686747,2,0.2573273116279216,1e-05,resnet50,3
1,49.10179640718563,49.10179640718563,71.42857142857143,71.42857142857143,1,15.308979734068824,0.001,vgg16,1
2,68.8622754491018,68.8622754491018,67.85714285714286,71.42857142857143,1,4.789077987805719,0.001,vgg16,1
3,82.03592814371258,82.03592814371258,89.28571428571429,89.28571428571429,3,1.851474609381209,0.001,vgg16,1
4,79.64071856287426,82.03592814371258,91.66666666666667,91.66666666666667,4,1.6329852425981135,0.001,vgg16,1
5,89.82035928143712,89.82035928143712,76.19047619047619,91.66666666666667,4,0.4845227835508987,0.001,vgg16,1
1,89.82035928143712,89.82035928143712,97.61904761904762,97.61904761904762,1,0.6292067419929297,0.0001,vgg16,1
2,94.0119760479042,94.0119760479042,98.80952380952381,98.80952380952381,2,0.2658693534063743,0.0001,vgg16,1
3,95.20958083832335,95.20958083832335,98.80952380952381,98.80952380952381,2,0.2725161307740561,0.0001,vgg16,1
4,94.61077844311377,95.20958083832335,95.23809523809524,98.80952380952381,2,0.2232811266626684,0.0001,vgg16,1
5,95.20958083832335,95.20958083832335,98.80952380952381,98.80952380952381,2,0.32349173407558135,0.0001,vgg16,1
1,94.61077844311377,94.61077844311377,98.80952380952381,98.80952380952381,1,0.24334222490048232,1e-05,vgg16,1
2,97.60479041916167,97.60479041916167,98.80952380952381,98.80952380952381,1,0.17590316541221304,1e-05,vgg16,1
3,96.40718562874251,97.60479041916167,98.80952380952381,98.80952380952381,1,0.08895809244924228,1e-05,vgg16,1
4,92.81437125748504,97.60479041916167,98.80952380952381,98.80952380952381,1,0.30612657201740084,1e-05,vgg16,1
5,98.20359281437126,98.20359281437126,98.80952380952381,98.80952380952381,1,0.04644629636883716,1e-05,vgg16,1
1,88.62275449101796,88.62275449101796,90.47619047619048,90.47619047619048,1,0.9882429060553468,0.001,vgg16,2
2,88.62275449101796,88.62275449101796,91.66666666666667,91.66666666666667,2,2.3207388778382105,0.001,vgg16,2
3,86.22754491017965,88.62275449101796,92.85714285714286,92.85714285714286,3,2.1204740485409275,0.001,vgg16,2
4,94.0119760479042,94.0119760479042,92.85714285714286,92.85714285714286,3,1.0904910363934137,0.001,vgg16,2
5,91.61676646706587,94.0119760479042,91.66666666666667,92.85714285714286,3,1.8150560371517865,0.001,vgg16,2
1,93.41317365269461,93.41317365269461,91.66666666666667,91.66666666666667,1,0.9990696988881367,0.0001,vgg16,2
2,97.0059880239521,97.0059880239521,91.66666666666667,91.66666666666667,1,0.480294082298083,0.0001,vgg16,2
3,95.80838323353294,97.0059880239521,91.66666666666667,91.66666666666667,1,0.24808567477704657,0.0001,vgg16,2
